track_id,provenance,second_start,second_end,rms_mean_dbfs,rms_peak_dbfs,spectral_centroid_hz,low_20_180_ratio,low_mid_180_2000_ratio,high_2000_10000_ratio,relative_dynamics_band
001,official main,0,1,-22.95,-9.78,631.6,0.9747,0.0249,0.0001,pp
001,official main,1,2,-22.35,-8.53,2333.9,0.9899,0.0084,0.0015,pp
001,official main,2,3,-20.11,-10.53,1094.0,0.8606,0.1379,0.0014,p
001,official main,3,4,-21.65,-7.69,1184.6,0.7037,0.2939,0.0021,p
001,official main,4,5,-23.17,-10.12,1141.4,0.8474,0.1519,0.0004,pp
001,official main,5,6,-23.35,-8.65,1412.9,0.7758,0.2214,0.002,pp
001,official main,6,7,-25.96,-13.84,1465.8,0.729,0.2667,0.0029,pp
001,official main,7,8,-20.79,-11.23,1043.9,0.9592,0.0398,0.0009,p
001,official main,8,9,-22.01,-9.41,1178.6,0.9274,0.0722,0.0003,p
001,official main,9,10,-21.91,-9.58,1250.3,0.7279,0.2699,0.0014,p
001,official main,10,11,-24.32,-9.34,1223.7,0.5318,0.4625,0.0034,pp
001,official main,11,12,-21.2,-7.17,1085.1,0.6744,0.3248,0.0006,p
001,official main,12,13,-19.67,-10.12,924.4,0.8407,0.1589,0.0002,p
001,official main,13,14,-20.93,-8.99,978.6,0.8065,0.1923,0.0007,p
001,official main,14,15,-24.97,-14.29,1424.0,0.8066,0.1901,0.0026,pp
001,official main,15,16,-20.37,-6.8,922.4,0.5329,0.4663,0.0005,p
001,official main,16,17,-21.09,-8.23,1029.5,0.9006,0.099,0.0002,p
001,official main,17,18,-18.99,-6.74,1379.1,0.5618,0.4369,0.001,p
001,official main,18,19,-18.98,-10.42,976.5,0.9037,0.095,0.0009,p
001,official main,19,20,-21.94,-9.54,1186.1,0.8001,0.1976,0.0019,p
001,official main,20,21,-21.0,-9.15,1604.1,0.9636,0.0317,0.0046,p
001,official main,21,22,-21.72,-7.89,1634.5,0.8898,0.1082,0.0016,p
001,official main,22,23,-18.44,-4.46,1045.8,0.1235,0.8754,0.0009,p
001,official main,23,24,-18.02,-6.25,1021.5,0.6414,0.3577,0.0008,mp
001,official main,24,25,-21.55,-9.01,936.1,0.9026,0.0966,0.0003,p
001,official main,25,26,-22.21,-9.04,1391.7,0.286,0.7123,0.0014,pp
001,official main,26,27,-20.61,-8.56,1156.9,0.9029,0.0957,0.0014,p
001,official main,27,28,-20.49,-8.17,1029.5,0.837,0.1627,0.0003,p
001,official main,28,29,-20.5,-7.42,1515.2,0.9029,0.0955,0.0007,p
001,official main,29,30,-20.03,-11.81,943.2,0.8568,0.1414,0.0008,p
001,official main,30,31,-19.55,-5.56,900.1,0.777,0.2222,0.0007,p
001,official main,31,32,-18.93,-7.34,845.8,0.7259,0.2737,0.0003,p
001,official main,32,33,-20.84,-6.25,1237.6,0.2992,0.6987,0.0014,p
001,official main,33,34,-22.84,-9.82,1394.1,0.85,0.1473,0.0015,pp
001,official main,34,35,-17.16,-5.01,1360.2,0.7716,0.2279,0.0003,mp
001,official main,35,36,-17.79,-6.29,953.3,0.6388,0.3604,0.0005,mp
001,official main,36,37,-22.88,-12.17,1246.2,0.6114,0.3865,0.0019,pp
001,official main,37,38,-19.59,-8.07,1001.1,0.762,0.2367,0.001,p
001,official main,38,39,-18.16,-3.11,937.0,0.5069,0.4919,0.001,mp
001,official main,39,40,-17.37,-5.91,929.0,0.2383,0.7605,0.0009,mp
001,official main,40,41,-17.08,-6.66,745.2,0.6313,0.3677,0.0007,mp
001,official main,41,42,-18.67,-6.36,920.9,0.6996,0.2996,0.0007,p
001,official main,42,43,-19.1,-8.25,806.7,0.6996,0.3001,0.0002,p
001,official main,43,44,-23.84,-8.78,1452.0,0.5392,0.4453,0.0153,pp
001,official main,44,45,-16.88,-5.61,841.2,0.546,0.453,0.0009,mp
001,official main,45,46,-15.09,-4.04,905.6,0.3824,0.6164,0.0011,mf
001,official main,46,47,-17.25,-4.96,1009.2,0.5265,0.4718,0.0014,mp
001,official main,47,48,-17.06,-3.82,1254.9,0.224,0.7736,0.0024,mp
001,official main,48,49,-17.5,-6.56,1037.4,0.6331,0.3661,0.0007,mp
001,official main,49,50,-17.4,-4.45,1034.0,0.5521,0.4472,0.0006,mp
001,official main,50,51,-19.54,-6.42,1347.3,0.5499,0.4481,0.001,p
001,official main,51,52,-16.96,-9.16,901.1,0.8642,0.1345,0.0006,mp
001,official main,52,53,-16.87,-5.89,875.9,0.622,0.3773,0.0005,mp
001,official main,53,54,-18.32,-4.54,1027.8,0.7852,0.2141,0.0005,mp
001,official main,54,55,-18.09,-4.24,1097.6,0.2224,0.7729,0.0026,mp
001,official main,55,56,-18.51,-4.37,1046.6,0.7728,0.2247,0.001,p
001,official main,56,57,-15.9,-3.77,1209.0,0.71,0.2895,0.0004,mf
001,official main,57,58,-16.28,-3.88,1157.8,0.4676,0.5306,0.0015,mp
